"propertyLabel","propertyID","mandatory","repeatable","usage","valueType","valueConstraintType","ValueConstraint","Note"
"Title ","datacite:title","TRUE",FALSE,,"xsd:string",,,"Preserve the original wording, order and spelling of the resource title. Only capitalize proper nouns. Punctuation need not reflect the usage of the original. Subtitles should be separated from the title by a colon. This instruction would result in Title:Subtitle (i.e. no space). If necessary, repeat this element for multiple titles."
"title type",,FALSE,FALSE,,"xsd:string","picklist","AlternativeTitle,  Subtitle, TranslatedTitle, Other",
"Creator ","datacite:creator","TRUE",TRUE,,"xsd:string",,,
"name type",,,,,"xsd:string","picklist","Organizational, Personal",
"Contributor ","datacite:contributor","FALSE",,"MA","xsd:string",,,
"name type",,,,,"xsd:string","picklist","Organizational, Personal",
"contributor type",,,,,"xsd:string","picklist","ContactPerson, DataCollector, DataCurator, DataManager, Distributor, Editor, HostingInstitution, Producer, ProjectLeader, ProjectManager, ProjectMember, RegistrationAgency, RegistrationAuthority, RelatedPerson, Researcher, ResearchGroup, RightsHolder, Sponsor, Supervisor, WorkPackageLeader, Other",
"Funding Reference ","oaire:fundingReference","FALSE",,"MA","xsd:string",,,
"Alternate Identifier ","datacite:alternateIdentifier","FALSE",,"R","xsd:string","picklist","alternateIdentifier type",
"alternate identifier type","datacite:alternateIdentifierType",,,,"xsd:string",,,
"Related Identifier ","datacite:relatedIdentifier","FALSE",,"R","xsd:string",,"relatedIdentifier type relation type resourcetypegeneral ",
"relatedIdentifierType","datacite:relatedIdentifierTy[e",,,,"xsd:string","picklist",,
"relationType","datacite:relationType",,,,"xsd:string","picklist",,
"resourceTypeGeneral","datacite:resourceTypeGeneral",,,,"xsd:string","picklist",,
"Embargo Period Date ","resourceTypeGeneral ","FALSE",,"MA","xsd:date","picklist",,
"date type","datacite:dateType",,,,"xsd:string","picklist",,
"Language ","dc:language","FALSE",,"MA","xsd:string","picklist","IETF BCP 47, ISO 639-3",
"Publisher ","dc:publisher","FALSE",,"MA","xsd:string",,,
"Publication Date ","datacite:date","TRUE",,,"xsd:date",,,
"Date type","datacite:dateType",,,,"xsd:string","picklist","Accepted, Available, Issued",
"Resource Type ","oaire:resourceType","TRUE",,,"xsd:string","picklist","COAR Resource Type Vocabulary",
"Description ","dc:description","FALSE",,"MA","xsd:string",,,
"Format ","dc:format","FALSE",,"R","xsd:string",,,
"Resource Identifier ","datacite:identifier","TRUE",,,"xsd:string",,,
"Identifier type","oaire:identifierType",,,,"xsd:string","picklist",,
"Access Rights ","datacite:rights","TRUE",,,"xsd:string","picklist","COAR Access Right Vocabulary",
"Source ","dc:source","FALSE",,"R","xsd:string",,,
"Subject ","datacite:subject","FALSE",,"MA","xsd:string",,,
"License Condition ","oaire:licenseCondition","FALSE",,"R","xsd:string",,,
"Coverage ","dc:coverage","FALSE",,"R","xsd:string",,,
"Size ","datacite:size","FALSE",,,,,,
"Geo Location ","datacite:geoLocation","FALSE",,,"xsd:string",,,
"Resource Version ","oaire:version","FALSE",,"R","xsd:string","picklist","COAR Version Vocabulary",
"File Location ","oaire:file","FALSE",,"MA","xsd:string",,,
"Citation Title ","oaire:citationTitle","FALSE",,"R","xsd:string",,,
"Citation Volume ","oaire:citationVolume","FALSE",,"R","xsd:string",,,
"Citation Issue ","oaire:citationIssue","FALSE",,"R","xsd:string",,,
"Citation Start Page ","oaire:citationStartPage","FALSE",,"R","xsd:string",,,
"Citation End Page ","oaire:citationEndPage","FALSE",,"R","xsd:string",,,
"Citation Edition ","oaire:citationEdition","FALSE",,"R","xsd:string",,,
"Citation Conference Place ","oaire:citationConferencePlace","FALSE",,"R","xsd:string",,,
"Citation Conference Date ","oaire:citationConferenceDate","FALSE",,"R","xsd:string",,,
"Audience ","dcterms:audience","FALSE",,,"xsd:string",,,
